wavelength,PC,PH,PI,PK,PE,PN
690.7949,20.56,47.34,239.84,1427.06,205.38,182.42
691.1392,20.94,48.56,242.58,1435.12,206.4,186.64
691.4835,21.04,46.76,242.48,1443.72,206.84,184.02
691.8278,19.92,47.7,244.7,1456.72,211.02,186.76
692.1721,20.82,49.32,246.64,1463.8,210.74,187.28
692.5164,21.16,48.6,249.16,1470.52,213.22,189.98
692.8607,20.1,48.6,251.34,1487.08,213.3,190.22
693.205,20.14,49.3,252.92,1500.22,215.58,191.04
693.5493,21.5,48.76,258.12,1509.92,216,194.24
693.8936,21.1,50.08,258,1523.42,219.48,194.72
694.2379,21.94,51.22,261.68,1539.78,222.2,199.12
694.5822,22.54,51.26,263.04,1549,224.04,200.18
694.9265,22.98,52.44,265.2,1561.16,227,201.74
695.2708,21.98,52.36,266.94,1567.76,226.36,200.96
695.6151,21.7,52.46,271.4,1585.5,228.34,204.76
695.9594,22.08,52.3,273.02,1598.36,230.94,206.58
696.3037,22.16,54.24,275.2,1611.34,232.86,208.18
696.648,21.5,54.66,277.94,1622.52,237.46,209.04
696.9923,21.28,53.98,278.1,1627.46,236.44,208.6
697.3366,21.86,52.56,280.68,1642.22,237.82,211.78
697.6809,23.16,54.76,281,1649.72,240.98,212.48
698.0252,21.64,53.82,282.82,1653.78,240.4,215.68
698.3695,22.2,55.32,287.06,1660.3,243.16,216.04
698.7138,23.2,56.74,288.12,1670.44,244.64,216.08
699.0581,24,56.54,290.08,1674.1,242.96,219.6
699.4024,23.3,55.94,292.24,1682.8,247.72,218.36
699.7467,23.14,55.48,292.84,1687.86,247.12,218.46
700.091,23.9,56.42,294.08,1696.4,245.8,221.58
700.4353,23.18,56.76,295.56,1695.7,247.48,221.56
700.7796,23.16,57.02,296.98,1705.82,250.22,221.76
701.1239,23.92,58,296.88,1713.6,252.14,223.56
701.4682,23.5,56.76,298.08,1713.26,252.96,224.04
701.8125,24,58.18,299.2,1718.64,255.02,225.12
702.1568,24.86,58.26,298.96,1720.6,254.86,228.24
702.5011,23.34,58.68,302.26,1719.32,254.48,226.82
702.8454,24.68,58.78,301.98,1723.54,256.48,229
703.1897,25.34,58.24,303.02,1723.62,255.86,226.44
703.534,25.36,58.42,304.8,1724.72,255.1,228.54
703.8783,24.16,58.12,305.4,1726.62,256.12,226.84
704.2226,24.38,58.56,304.52,1724.54,256.98,227.72
704.5669,26.78,59,307.22,1738.48,260.5,229.06
704.9112,25.72,60.1,307.16,1744.52,261.42,232.22
705.2555,24.96,60.98,309.16,1751.5,261.44,232.06
705.5998,25.1,60.8,311.62,1756.06,263.08,235.46
705.9441,24.34,59.98,310.92,1765.3,265.04,233.34
706.2884,24.66,59.9,315,1768.56,266.1,236.84
706.6327,25.02,60.88,316.24,1770.72,265.44,237.9
706.977,25.6,62.14,318.28,1782.62,268.18,238.38
707.3213,25.18,61.54,318.88,1780.02,268.08,239.74
707.6656,25,61.02,319.86,1787.46,270.9,238.2
708.0099,26.9,62.5,321.54,1797.4,272.68,240.58
708.3542,26.54,63.14,322.88,1806.22,273,242
708.6985,26.5,62.88,327.14,1811.18,273.76,243.68
709.0428,26.34,64.12,330.18,1831.58,277.12,248.96
709.3871,26.66,63.4,332.84,1841.4,276.66,248.18
709.7314,26.38,64.2,333.04,1854.4,281.24,249.16
710.0757,28.62,66.5,335.2,1862.32,282.16,250.98
710.42,27.38,65,336.34,1876.04,285.16,251.96
710.7643,28.12,66.4,341.9,1882.38,285.68,253.34
711.1086,27.44,67.14,344.26,1895.14,287.02,255.54
711.4529,25.86,66.1,342.74,1904.42,289.6,255.96
711.7972,28.76,68.22,348.24,1915.38,292.64,259.68
712.1415,29.3,68.42,351.14,1929.3,293.6,258.64
712.4858,29.06,70.32,351.52,1934.28,298.24,260.58
712.8301,29.36,68.78,353.52,1953.24,298.98,265.16
713.1744,29.18,70.38,359.66,1967.24,300.44,267.22
713.5187,29.82,69.76,360.74,1984.26,304.72,268.26
713.863,29.32,72.24,365.14,1994.42,306.72,272.32
714.2073,28.6,70.32,368.28,2005.82,307.86,273.82
714.5516,28.88,71.56,369.48,2010.04,309.62,272.44
714.8959,30.6,71.62,370,2020.26,309.88,275.58
715.2402,29.88,73.24,371.66,2017.04,311.84,275.6
715.5845,30.02,72,372.1,2034.52,313.66,274.88
715.9288,29.56,72.94,370.82,2034.48,313.24,277.68
716.2731,29.58,72.16,373.72,2034.64,315.94,276.84
716.6174,30.48,74.86,378.14,2045.14,318.08,280.68
716.9617,28.76,74.6,381.08,2058.56,318.36,282.7
717.306,29.98,74.56,383.8,2073.42,321.66,281.54
717.6503,31.1,75.92,386.14,2084.64,323,286.68
717.9946,28.5,76.66,388.24,2099.02,325.28,285.9
718.3389,30.9,76.38,389.38,2108.34,327.7,290.66
718.6832,30.86,76.46,393.46,2110.24,329,289.58
719.0275,31.58,76.7,394.9,2123.04,330.4,293
719.3718,30.6,77.1,393.6,2114.82,330.66,288.78
719.7161,32.88,78.18,395.28,2121.74,332.8,293.68
720.0604,31.5,78.34,397.68,2127.82,333,291.78
720.4047,30.9,78.92,397.52,2122.8,331.9,293.2
720.749,32.56,78.1,400.38,2136.24,334.26,294.88
721.0933,30.58,78.02,401.98,2144,338.3,295.56
721.4376,30.32,78.68,401.88,2150.7,337.36,295.42
721.7819,32.84,80.08,407.08,2169.08,341.54,300.42
722.1262,32.26,81.12,410.48,2182.34,345.76,302.38
722.4705,32.3,80.32,413.56,2195.4,345.64,301.98
722.8148,32.8,82.68,419.04,2207.38,346.88,306.46
723.1591,32.7,81.5,417.62,2207.42,350.3,306.2
723.5034,33.56,82.52,420.98,2215.24,352,309.28
723.8477,34.14,83.72,423.34,2222.5,354.68,309.28
724.192,34.18,83.58,423.7,2227.64,354.1,311.24
724.5363,34.26,83.1,424.4,2229.06,353.78,312.48
724.8806,34.04,84.96,426.2,2233.2,357.9,312.94
725.2249,32.66,85.58,430.76,2245.04,359.08,315.46
725.5692,35.74,87,431.12,2263.72,361.76,318.96
725.9135,35.2,86.74,435.14,2275.16,364.76,317.08
726.2578,34.54,88.02,439.84,2297.58,368.44,324.5
726.6021,34.44,87.02,442.24,2306.34,371.24,325.14
726.9464,35.52,88.6,449.22,2327.3,374.38,327.04
727.2907,34.12,89.16,446.98,2334.36,376.36,328.8
727.635,35.04,87.74,450.5,2341.82,374.88,329.56
727.9793,35.74,90.82,454.84,2344.5,379.54,333.22
728.3236,35.56,89.26,457.98,2348.9,379.54,332.28
728.6679,36.18,91.86,457.14,2353.06,382.04,334.04
729.0122,37.58,92.68,457.9,2359.12,383.9,336.52
729.3565,38.16,91.64,460.8,2355.46,385.28,338.02
729.7008,37.34,93.86,462.5,2358.34,386.76,340.04
730.0451,37.14,92.54,465.3,2378.34,387.88,340.44
730.3894,37.26,93.06,469.24,2387.62,390.58,340.88
730.7337,38.08,94.64,473.42,2396.68,393.78,345.34
731.078,37.72,95.54,475.3,2409.08,398.1,348.12
731.4223,38.18,94.82,477.08,2411.08,396.88,345.92
731.7666,39.52,96.7,477.1,2417.58,401.7,350.32
732.1109,37.64,94.92,478,2415.12,398.16,349.16
732.4552,37.56,96.54,479.74,2411.86,399.98,350.74
732.7995,39.74,96.14,479.16,2404.28,399.72,349.82
733.1438,38.8,95.48,477.86,2394.54,398.96,348.16
733.4881,39.12,96.82,478.88,2387.52,399.72,348.92
733.8324,38.96,96.1,476.32,2379.96,399.32,346.62
734.1767,38.7,97.62,478.34,2371.26,397.26,349.58
734.521,38.72,96.62,480.82,2371.42,401.32,352.08
734.8653,38.98,98.38,482.78,2376.58,401.78,350.82
735.2096,40.28,99.68,483.46,2378.36,403.62,354.66
735.5539,39.66,99.96,487.9,2388.8,408.42,356.1
735.8982,40.4,99.52,487.14,2389.14,408.98,356.18
736.2425,40.88,98.72,489.96,2386.2,408.78,355.82
736.5868,40.1,98.74,489.28,2380.1,408.14,356.92
736.9311,40.66,99.24,486.32,2367.08,409.32,353.94
737.2754,41.5,99.72,485.26,2355.58,408.3,355.7
737.6197,41.06,100.34,483.02,2343.38,407.88,352.9
737.964,40.84,98.44,483.06,2324.66,406.28,351.96
738.3083,41.46,99.1,482.36,2308.34,406.1,353.14
738.6526,40.38,99.36,481.98,2305,404.36,351.52
738.9969,42.2,101.98,484.5,2297.52,405.58,356.68
739.3412,41.96,101.84,485.74,2299.64,404.52,354.16
739.6855,43.64,101.36,486.22,2305.5,409.96,359.7
740.0298,41.46,101.36,491.1,2319.58,410.58,359.56
740.3741,43.6,102.68,493.14,2322.96,414.56,360.74
740.7184,43.24,103.06,494.62,2330.44,416.34,362.48
741.0627,44.16,104.16,496.56,2334.22,417.52,364.38
741.407,42.98,103.26,497.48,2340.88,422.24,365.96
741.7513,45.46,104.68,500.94,2340.44,422.34,367.82
742.0956,45.44,104.64,500.1,2338.7,424.18,366.64
742.4399,44.38,106.5,502.76,2339.52,421.84,371.16
742.7842,44.86,106.3,502.04,2337.38,421.7,366.68
743.1285,45.8,106.3,505.58,2349.6,425.92,369.62
743.4728,45.94,107.66,507.38,2363.38,428.72,374.36
743.8171,45.68,109.48,512.98,2384.24,433.54,375.92
744.1614,45.52,109.98,522.2,2414.48,439.3,381.16
744.5057,45.96,110.88,526.22,2439.84,445.44,386.92
744.85,47.68,113.96,535.78,2476.5,449.14,393.06
745.1943,48.06,114.46,541.52,2512.08,454.42,394
745.5386,48.28,114.44,547.98,2545.74,460.84,399.3
745.8829,48.78,117.58,555.82,2585,465.62,405.32
746.2272,50.18,119.38,562.72,2612.16,471.38,409.36
746.5715,49.14,120.22,569.28,2651.5,477.48,411.68
746.9158,50.2,121.72,575.16,2687.18,479.84,418.42
747.2601,50.54,124.94,584.16,2732.68,486.08,421.12
747.6044,50.16,125.38,589.98,2779.18,490.62,428.62
747.9487,50.72,126.62,600.16,2825.1,499.8,431.16
748.293,52.52,130.2,609.24,2880.18,506.26,438.14
748.6373,51.1,131.94,616.96,2921.06,511.86,446.1
748.9816,52.04,131.34,626.52,2970.9,522.42,450.6
749.3259,52.66,134.98,637.26,3015.22,529.44,459.16
749.6702,54.34,134.04,642.72,3050.72,533.94,464.64
750.0145,53.06,137.16,651.12,3087.24,542.56,468.2
750.3588,54.82,140.56,656.32,3122.28,547.44,474.7
750.7031,56.9,141.92,665.26,3145.18,552.74,475.84
751.0474,54.92,141.48,669.24,3167.4,555.26,479.8
751.3917,56.96,143.84,673.78,3187.02,559.16,485.56
751.736,56.2,144.02,676.08,3190.3,562.58,486.88
752.0803,58.46,145.8,680.56,3203.16,563.38,487.3
752.4246,57.76,147.84,682.56,3217.54,566.68,493.48
752.7689,58.16,148.08,687.2,3232.78,570.96,492.66
753.1132,58.56,149.9,692.5,3257.14,576.5,496.82
753.4575,59.1,152.38,698.08,3290.6,583.08,505.16
753.8018,58.94,153.5,703.96,3318.38,588.12,508.44
754.1461,60.8,155.06,715.96,3346.74,592.96,510.64
754.4904,61.8,156.76,722.04,3380.6,602.8,519.64
754.8347,62.76,161.74,727.76,3401.16,607.18,526.24
755.179,62.36,162.28,732.04,3426.04,610.76,525.88
755.5233,64,163.9,736.34,3440.1,614.92,531.48
755.8676,63.76,162.16,737.32,3448.1,616.76,536.6
756.2119,64.76,163.3,743.74,3467.94,618.68,535.6
756.5562,64.24,165.88,748.26,3479.42,625.2,540.7
756.9005,65.54,167.82,752.72,3486.44,628.9,540.76
757.2448,64.44,167.44,757.74,3502.66,632.62,547.32
757.5891,66.86,169.66,764.62,3522.78,636.74,549.8
757.9334,66,171.38,767.16,3547.5,641.44,554.38
758.2777,67.52,174.5,774.1,3578.82,646.86,560.94
758.622,68.28,175.28,784.54,3613.24,653.42,565.08
758.9663,68.16,180.94,792.02,3641.3,663.52,572.48
759.3106,68.62,179.64,798.82,3678.18,672.02,580.78
759.6549,71.3,182.76,810.82,3715.58,681.5,586.52
759.9992,72.2,184.88,815.16,3730.94,686.66,589.44
760.3435,70.88,187.58,821.86,3760.88,692.5,595.78
760.6878,72.84,190.32,828.84,3784.94,694.76,601.2
761.0321,72.5,189.4,829.82,3792,699.1,605.32
761.3764,73.08,191.36,832.74,3803.62,704.54,606.48
761.7207,75.98,193.92,840.24,3822.8,707.82,614.26
762.065,75.96,197.64,843.76,3842.72,717.46,617.7
762.4093,76.72,200.16,852.74,3869.78,719.82,619.92
762.7536,79.38,202.68,863.3,3897,728.06,628.24
763.0979,79.98,203.02,867.84,3925.02,737.02,635.64
763.4422,82.1,206.94,877.78,3967.86,742.12,642.5
763.7865,83.98,211.84,891.6,3998.2,751.56,649.28
764.1308,85.62,216.48,901.28,4050.22,763.64,656.74
764.4751,85.44,217.08,910.7,4094.32,769.64,666.28
764.8194,86.32,221,922.02,4126.22,780.36,673.38
765.1637,89.92,223.9,928.12,4159.94,788.1,679.04
765.508,91.28,226.84,935.34,4181.68,793.88,684.64
765.8523,91.48,229.22,937.12,4180.98,797.08,686.86
766.1966,94.02,232.6,944.96,4207.96,803.24,693.44
766.5409,94.64,233.5,944.84,4214.36,806.4,698.48
766.8852,96.76,237.02,951.32,4221.34,811.4,699.06
767.2295,97.54,238.96,960.74,4235.22,815.26,703.84
767.5738,99.04,242.62,961.94,4245.96,819.02,707.04
767.9181,100.22,242.44,965.22,4274.32,821.28,713.14
768.2624,103.02,249.5,978.2,4284.24,832.24,719.92
768.6067,103.34,249.68,984.56,4329.3,843.74,726.56
768.951,104.84,253.78,998.44,4386.18,853.44,735.72
769.2953,107.42,260.72,1011.5,4424.24,863.28,745.92
769.6396,108.84,262.96,1022.42,4469.32,874.22,752.8
769.9839,109.36,267.3,1030.14,4487.8,878.68,759.52
770.3282,111.5,268.82,1032.76,4491.12,879.46,761.7
770.6725,113.02,269.58,1031.2,4477.32,883.3,763.32
771.0168,113.18,268.96,1028.94,4462.12,878.74,759.48
771.3611,111.94,269.96,1026.78,4445.02,878.7,759.04
771.7054,115.96,270.82,1028.98,4435.1,879.42,758.8
772.0497,115.5,273.06,1023.98,4425.88,876.68,762.12
772.394,114.58,272.04,1031.5,4432.76,887.44,763.96
772.7383,117.9,276.12,1034.64,4445.8,886.34,766.3
773.0826,118.36,277.72,1043.58,4481.1,898.32,774.06
773.4269,119.52,281.18,1055.3,4521,900.22,781.32
773.7712,123,285.5,1062.2,4552.76,910.5,789.8
774.1155,123.6,289.64,1072.82,4579.06,919.84,797.44
774.4598,124.36,291.4,1079.8,4611.98,930.2,799.08
774.8041,125.56,293.26,1089.42,4631.44,933.76,806.1
775.1484,128.82,295.36,1095.46,4641.22,940.78,806.38
775.4927,128.08,297.44,1093.3,4637.1,939.3,811.86
775.837,129.46,298.04,1093.38,4636.8,940.08,810.92
776.1813,130.44,300.46,1091.28,4616.92,940.5,810
776.5256,130.7,299.7,1088,4601.48,940.12,808.16
776.8699,130.48,300.06,1086.46,4588.16,933.92,809.88
777.2142,130.98,300.72,1088.96,4590.96,938.58,812.82
777.5585,132.54,300.56,1093.76,4588.98,943.12,814.32
777.9028,133.86,305.64,1099.58,4617.32,947.2,820.2
778.2471,136.04,306.38,1106.64,4646.22,953,826.96
778.5914,138.18,312.84,1117.9,4694.08,965.62,835.46
778.9357,137.44,316.48,1130.18,4721.72,972.9,842.82
779.28,142.06,319.44,1139.5,4766.34,984.76,848.6
779.6243,143,322.06,1146.06,4783.72,990.64,856.18
779.9686,144.4,326.02,1157.6,4809.94,995.58,862.3
780.3129,145.46,328.9,1161.82,4831.66,1003.14,868.5
780.6572,146.14,331.66,1170.6,4854.82,1012.84,874.8
781.0015,148.16,331.64,1174.66,4864.1,1013.92,876.32
781.3458,149.9,334.7,1178.38,4868.84,1020.48,874.24
781.6901,148.7,335.48,1177.08,4862.98,1014.36,877.2
782.0344,150,336.46,1180.86,4858.72,1017.38,879.92
782.3787,148.56,337.64,1180.9,4855.1,1016.44,877.38
782.723,149.72,338.94,1185.54,4871.14,1017.6,884.3
783.0673,152.84,340.88,1191.76,4891.22,1029.7,890.72
783.4116,152.18,344.34,1204.78,4922.18,1037.6,899.52
783.7559,157.4,349.48,1215.42,4976.68,1053.66,908.92
784.1002,159,354.74,1224.36,5024.14,1060.58,918.16
784.4445,161.86,358.82,1237.56,5050.54,1074.02,923.26
784.7888,163.74,359.88,1246.9,5073.44,1073.66,931.58
785.1331,162.38,362.44,1254.08,5107.92,1085.3,937.52
785.4774,165.52,367.94,1267.04,5138.8,1094.98,947.52
785.8217,166.8,369.5,1276.96,5162.2,1098.86,953.2
786.166,166.32,371.7,1277.74,5172.14,1105.22,956.3
786.5103,168.32,372.96,1280.62,5178.54,1105.72,958.56
786.8546,168.88,374.38,1285.2,5188.36,1111.06,961.18
787.1989,168.8,379.4,1293.04,5196.56,1112.12,963.54
787.5432,172.3,377.94,1292.76,5218.16,1117.04,967.4
787.8875,172.58,381.12,1296.84,5221.98,1125.34,965.62
788.2318,172.06,384.56,1301.68,5243.86,1126.86,974.2
788.5761,174.86,387.3,1308.44,5250.94,1136.4,980.94
788.9204,175.78,389.26,1315.18,5262.22,1136.6,983.34
789.2647,177.7,388.54,1314.46,5265.44,1138.38,985.2
789.609,177.72,392.36,1319.44,5264.08,1139.5,989.3
789.9533,179.54,392.18,1324.54,5283.5,1149.4,992.32
790.2976,182.06,398.78,1332.48,5301.5,1155.82,998.76
790.6419,181.52,397.36,1335.08,5324.3,1157.46,1001.22
790.9862,182.26,401.36,1346.18,5324.24,1164.02,1004.88
791.3305,183.82,402.84,1342.12,5334.28,1167.22,1009.82
791.6748,185.86,405.88,1351.62,5337.8,1170.84,1011.74
792.0191,187.06,408.38,1352.74,5362.22,1174.22,1012.94
792.3634,185.38,409.5,1361.48,5376.12,1177.9,1019
792.7077,189.26,415.08,1363.86,5387.42,1184.84,1023.96
793.052,191.6,414.96,1368.58,5396.38,1189.5,1026.5
793.3963,192.02,415.58,1366.56,5390.5,1191.72,1028.32
793.7406,193,417.66,1370,5399.84,1193.06,1027.9
794.0849,193.7,417.26,1364.6,5371.68,1188.52,1028.76
794.4292,195.16,418.54,1367.6,5354.82,1191.68,1028.74
794.7735,196,419.38,1365.28,5349.98,1190.2,1028.92
795.1178,196.48,422,1366.74,5336.54,1189.22,1026.78
795.4621,198.76,422.3,1367.1,5325.6,1193,1027.38
795.8064,200.1,423.08,1370.32,5341.48,1194.7,1026.64
796.1507,202.12,424.88,1376.5,5341,1194.88,1033.84
796.495,202.68,429.1,1385.36,5366.76,1207.64,1041.48
796.8393,202.12,432.42,1390.3,5385.56,1210.44,1047.78
797.1836,205.86,438.08,1390.74,5401.02,1213.34,1051.14
797.5279,207.14,437,1399.36,5410.34,1219.24,1055.6
797.8722,208.18,438.64,1406.04,5423.18,1224.86,1058.02
798.2165,209.14,444.16,1410.06,5427.54,1231.14,1062.46
798.5608,211.26,444.2,1409.92,5439.54,1233.22,1066.48
798.9051,212.32,450.2,1417.96,5444.84,1233.92,1067.28
799.2494,215.56,450.98,1420.72,5454.14,1237.64,1071.62
799.5937,213.66,452.06,1424.26,5459.32,1242.68,1074.86
799.938,217.66,452.88,1431.52,5464.32,1245.6,1080.48
800.2823,218.78,456.38,1425.94,5455.38,1245.4,1079.94
800.6266,221.48,458.64,1429.36,5450.64,1246.46,1078.38
800.9709,220.66,458.98,1429.54,5427.62,1244.4,1081.38
801.3152,222.02,457.52,1427.76,5407.62,1245.4,1081.14
801.6595,221.2,459.98,1426.5,5397.62,1244.56,1078.22
802.0038,221.38,457.92,1424.04,5395.68,1241.96,1073.94
802.3481,225.6,461.96,1427.48,5389.16,1249.56,1080.86
802.6924,227.04,464.26,1428.38,5402.06,1250.34,1083.18
803.0367,227.78,466.34,1439.88,5416.78,1259.66,1091.06
803.381,231.28,474.64,1455.02,5464.22,1271.4,1100.58
803.7253,233.68,477.84,1465.96,5507.9,1283.26,1114.76
804.0696,236.48,489.42,1485.88,5574.44,1302.82,1128.6
804.4139,239.28,492.44,1505.06,5615.72,1315.54,1135.12
804.7582,242.88,499.02,1513.28,5655.66,1327.48,1151.84
805.1025,245.8,500.1,1525.16,5684,1335.1,1156.72
805.4468,246.28,503.96,1529.26,5695.24,1341.04,1156.76
805.7911,246.76,506.36,1527.02,5684.14,1339.54,1162.48
806.1354,247.54,502.86,1520.42,5664.54,1334.34,1160.28
806.4797,248.44,504.42,1517.86,5619.06,1333,1155.74
806.824,246.96,501.32,1511.72,5581.96,1322.88,1145.66
807.1683,246.42,502.06,1498.94,5533.64,1315,1138.3
807.5126,244.6,499.56,1491.38,5506.14,1311.62,1136.08
807.8569,244.62,498.5,1488.2,5485.7,1304.96,1133.5
808.2012,247.14,500.96,1490.7,5500.24,1313.28,1134.84
808.5455,252.26,508.88,1502.38,5539.98,1324.08,1147.28
808.8898,257.04,516.94,1526.84,5603.6,1337.22,1162.72
809.2341,259.36,521.8,1542.06,5656.36,1352.8,1176.9
809.5784,264.86,530.8,1564.46,5747.36,1374.92,1195.2
809.9227,271.3,539.76,1589.72,5824.78,1397.96,1217.14
810.267,274.02,551.18,1615.74,5918.76,1420.68,1234.1
810.6113,276.88,556.42,1631.4,5984.8,1441.14,1245.8
810.9556,283.02,564.74,1649.42,6030.36,1451.66,1263
811.2999,282.54,564.88,1650.72,6022.64,1454.32,1260.98
811.6442,282.5,566.24,1648.82,6010.74,1453.28,1262.04
811.9885,281.16,566.48,1641.84,5969.96,1444.92,1250.28
812.3328,277.46,559.54,1617.86,5897.58,1430.28,1239.84
812.6771,279.08,552.82,1602.62,5819.12,1410.56,1224.96
813.0214,274.18,547.44,1582.44,5730.56,1392.44,1205.46
813.3657,272.88,543.74,1562.88,5672.4,1376.68,1190.12
813.71,270.62,536.42,1550.54,5626.06,1365.04,1182.58
814.0543,270.92,537.1,1546.3,5603.16,1356.84,1178.18
814.3986,272.3,542.36,1557.62,5621.32,1364.8,1185.54
814.7429,279.12,550.46,1573.96,5694.4,1385.42,1202.24
815.0872,283.1,564.28,1608,5797.66,1412.68,1226.88
815.4315,288.48,574.18,1640.38,5913.84,1445.66,1255.08
815.7758,295.46,586.94,1676.62,6031.64,1472.24,1275.88
816.1201,301.1,600.76,1706.62,6146.96,1504.54,1302.46
816.4644,308.5,611.3,1733.52,6239.52,1525.22,1324.42
816.8087,312.12,614.74,1750.16,6289.68,1540,1337.9
817.153,312.64,620.94,1752.36,6319.16,1546.72,1341.68
817.4973,315.78,621.58,1750.28,6298.4,1544.12,1335.64
817.8416,313.16,621.88,1744.52,6255.48,1535.92,1328.16
818.1859,308.52,613.54,1722.58,6178.88,1515.9,1313.94
818.5302,306.32,604.3,1687.24,6069.18,1493.16,1295.18
818.8745,299.9,599.04,1666.26,5973.14,1468.4,1274.06
819.2188,301.42,590.44,1637.76,5877.34,1446.74,1253.56
819.5631,296.3,582.6,1620.16,5811.52,1422.34,1236.46
819.9074,294.4,581.58,1614.16,5769.94,1420.06,1232.22
820.2517,299.88,585.82,1613.02,5766.94,1423.64,1232.66
820.596,299.38,588.5,1628.2,5804.06,1432.04,1241.18
820.9403,305.6,600.84,1651.94,5888.44,1455.32,1261.98
821.2846,312.08,611.1,1689.28,6017.52,1489.08,1290.4
821.6289,320.88,631.68,1723.94,6161.94,1524.04,1322.92
821.9732,329.68,646.26,1762.1,6287.44,1560,1348.56
822.3175,334.32,656.16,1800.2,6392.96,1589.32,1375.4
